"","logID","pasteID2","fightID","size","difficulty","tag_hmsize","first_mark_cast","2500/5000 dmg. (HM/NM)","Weighted(Beast=5)","Weighted(Beast=3)"
"4698","tzgZH2hfcAyNRWDx","tzgZH2hfcAyNRWDx1",1,25,"Hard","Heroic-25m",61.468,109.0368,133,136
"4699","tzr2DxBykHJFjQXv","tzr2DxBykHJFjQXv1",1,25,"Hard","Heroic-25m",51.819,142.0068,160,173
"4700","v2AYQVW7ytnr93xa","v2AYQVW7ytnr93xa1",1,25,"Hard","Heroic-25m",64.775,125.7724,140,143
"4701","v2AYQVW7ytnr93xa","v2AYQVW7ytnr93xa3",3,25,"Normal","Normal-25m",139.339,103.2634,314,319
"4702","v4qZQwn6ApLkF87Y","v4qZQwn6ApLkF87Y6",6,25,"Hard","Heroic-25m",52.332,109.0052,152,162
"4703","v8rhgNYWjK16m3Rw","v8rhgNYWjK16m3Rw23",23,10,"Hard","Heroic-10m",129.674,102.5152,119,127
"4704","v8rhgNYWjK16m3Rw","v8rhgNYWjK16m3Rw24",24,10,"Hard","Heroic-10m",131.113,109.792,116,121
"4705","vABrQRd8xWYnG6mt","vABrQRd8xWYnG6mt17",17,25,"Normal","Normal-25m",90.743,103.3888,380,416
"4706","vAGcrCmpjJZMDbzq","vAGcrCmpjJZMDbzq6",6,10,"Hard","Heroic-10m",85.755,100.5776,128,137
"4707","vAGcrCmpjJZMDbzq","vAGcrCmpjJZMDbzq7",7,10,"Hard","Heroic-10m",100.4,106.182,113,121
"4708","vCcnFAJRBtQ9KVa2","vCcnFAJRBtQ9KVa224",24,25,"Hard","Heroic-25m",51.915,100.108,122,126
"4709","vCcnFAJRBtQ9KVa2","vCcnFAJRBtQ9KVa225",25,25,"Hard","Heroic-25m",61.986,115.552,128,131
"4710","vCcnFAJRBtQ9KVa2","vCcnFAJRBtQ9KVa226",26,25,"Hard","Heroic-25m",55.091,102.938,129,134
"4711","vCcnFAJRBtQ9KVa2","vCcnFAJRBtQ9KVa227",27,25,"Hard","Heroic-25m",58.361,112.054,132,136
"4712","vH3JrnQVY6AzTxgb","vH3JrnQVY6AzTxgb24",24,25,"Hard","Heroic-25m",51.997,113.2736,144,153
"4713","vH3JrnQVY6AzTxgb","vH3JrnQVY6AzTxgb25",25,25,"Hard","Heroic-25m",68.075,115.0804,140,140
"4714","vH3JrnQVY6AzTxgb","vH3JrnQVY6AzTxgb26",26,25,"Hard","Heroic-25m",68.241,107.7712,120,123
"4715","vH3JrnQVY6AzTxgb","vH3JrnQVY6AzTxgb27",27,25,"Hard","Heroic-25m",58.858,230.0172,157,175
"4716","vH3JrnQVY6AzTxgb","vH3JrnQVY6AzTxgb30",30,25,"Hard","Heroic-25m",61.78,107.9308,117,118
"4717","vH3JrnQVY6AzTxgb","vH3JrnQVY6AzTxgb31",31,25,"Hard","Heroic-25m",66.561,106.52,109,111
"4718","vH3JrnQVY6AzTxgb","vH3JrnQVY6AzTxgb32",32,25,"Hard","Heroic-25m",72.964,105.6136,116,118
"4719","vH3JrnQVY6AzTxgb","vH3JrnQVY6AzTxgb33",33,25,"Hard","Heroic-25m",63.568,118.9412,114,122
"4720","vH3JrnQVY6AzTxgb","vH3JrnQVY6AzTxgb34",34,25,"Hard","Heroic-25m",64.774,118.3648,162,177
"4721","vH3JrnQVY6AzTxgb","vH3JrnQVY6AzTxgb35",35,25,"Hard","Heroic-25m",82.617,99.1608,126,127
"4722","vH3JrnQVY6AzTxgb","vH3JrnQVY6AzTxgb36",36,25,"Hard","Heroic-25m",76.107,97.8528,121,121
"4723","vH3JrnQVY6AzTxgb","vH3JrnQVY6AzTxgb37",37,25,"Hard","Heroic-25m",75.736,105.7128,130,134
"4724","vH3JrnQVY6AzTxgb","vH3JrnQVY6AzTxgb38",38,25,"Hard","Heroic-25m",79.475,98.8088,118,119
"4725","vH3JrnQVY6AzTxgb","vH3JrnQVY6AzTxgb39",39,25,"Hard","Heroic-25m",72.787,118.2548,122,122
"4726","vH3JrnQVY6AzTxgb","vH3JrnQVY6AzTxgb40",40,25,"Hard","Heroic-25m",79.355,100.8024,130,131
"4727","vHk9fptYB37gXcxq","vHk9fptYB37gXcxq16",16,10,"Hard","Heroic-10m",110.061,97.3904,108,109
"4728","vJ1FGbCk6yf8HQ4r","vJ1FGbCk6yf8HQ4r29",29,10,"Hard","Heroic-10m",79.252,113.9252,95,97
"4729","vJ1FGbCk6yf8HQ4r","vJ1FGbCk6yf8HQ4r30",30,10,"Hard","Heroic-10m",90.725,103.4376,91,91
"4730","vJ1FGbCk6yf8HQ4r","vJ1FGbCk6yf8HQ4r31",31,10,"Hard","Heroic-10m",103.603,101.384,112,116
"4731","vJ1FGbCk6yf8HQ4r","vJ1FGbCk6yf8HQ4r32",32,10,"Hard","Heroic-10m",106.775,101.4836,120,122
